ต้นทาง,ปลายทาง,วันที่,ช่วงเวลา,เทศกาล,ระยะเวลาเดินทาง (นาที)
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2004-09-24,11:00-13:00,เปิดเทอม,45.0
ศูนย์ราชการแจ้งวัฒนะ,ตลาดนัดจตุจักร,1999-06-03,06:00-09:00,ปีใหม่,138.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2022-06-22,11:00-13:00,สงกรานต์,94.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2014-09-16,06:00-09:00,ปิดเทอม,26.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินดอนเมือง,2002-09-14,11:00-13:00,วันหยุดนักขัตฤกษ์,33.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2023-03-08,17:00-20:00,ปิดเทอม,20.0
อนุสาวรีย์ชัยสมรภูมิ,สยามพารากอน,2017-05-13,06:00-09:00,วันหยุดนักขัตฤกษ์,74.0
สยามพารากอน,เซ็นทรัลเวิลด์,2011-08-19,06:00-09:00,สงกรานต์,95.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2020-02-03,06:00-09:00,เปิดเทอม,89.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2013-12-14,17:00-20:00,ปิดเทอม,57.0
สนามบินดอนเมือง,สถานีหัวลำโพง,2010-08-17,17:00-20:00,วันธรรมดา,35.0
เซ็นทรัลเวิลด์,สถานีขนส่งเอกมัย,2005-03-27,17:00-20:00,วันหยุดนักขัตฤกษ์,31.0
สถานีหัวลำโพง,เซ็นทรัลเวิลด์,2007-04-29,06:00-09:00,ปีใหม่,109.0
สถานีขนส่งหมอชิต,ตลาดนัดจตุจักร,2021-10-19,11:00-13:00,ลอยกระทง,66.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งเอกมัย,2001-02-04,06:00-09:00,วันธรรมดา,16.0
สถานีขนส่งเอกมัย,ตลาดนัดจตุจักร,2007-07-28,06:00-09:00,ปีใหม่,80.0
อนุสาวรีย์ชัยสมรภูมิ,สยามพารากอน,2011-01-22,11:00-13:00,ปิดเทอม,24.0
สถานีขนส่งเอกมัย,อนุสาวรีย์ชัยสมรภูมิ,2020-06-01,17:00-20:00,ปิดเทอม,36.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินสุวรรณภูมิ,2008-05-03,11:00-13:00,ปีใหม่,51.0
ตลาดนัดจตุจักร,สยามพารากอน,2009-06-22,11:00-13:00,ปิดเทอม,8.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2013-08-13,11:00-13:00,ปิดเทอม,32.0
สยามพารากอน,สถานีหัวลำโพง,2000-03-07,17:00-20:00,เปิดเทอม,41.0
อนุสาวรีย์ชัยสมรภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2006-11-19,17:00-20:00,วันหยุดนักขัตฤกษ์,60.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2015-05-24,17:00-20:00,ปีใหม่,52.0
สถานีขนส่งเอกมัย,ตลาดนัดจตุจักร,2015-04-30,11:00-13:00,ลอยกระทง,44.0
